PGIns2 / PGUni2,PGIns_Class
"ICFAI BUSINESS SCH, JAIPUR",TIER_3
"ICFAI Business Sch, Kochi",TIER_3
"ICFAI BUSINESS SCH, KOLKATA",TIER_2
"ICFAI BUSINESS SCH, MUMBAI",TIER_2
ICFAI National Coll,UNKNOWN
ICFAI NATIONAL COLLEGE,UNKNOWN
ICFAI UNIVERSITY,UNKNOWN
"ICFAI UNIVERSITY, HYDERABAD",TIER_2
IFBI,UNKNOWN
"IFBI, AHMEDABAD",UNKNOWN
"IFBI, CHENNAI",UNKNOWN
"IFBI, LUCKNOW",UNKNOWN
"IFBI,BHUBANESHWAR",UNKNOWN
"IFBI,Delhi",UNKNOWN
"IFBI,Pune",UNKNOWN
IIEBM - PUNE,UNKNOWN
IIIT ALLAHABAD UNIVERSITY,UNKNOWN
IILM,TIER_3
IILM ACADEMY OF HIGHER LEARN,TIER_3
IILM INSTITUTE FOR HIGHER EDUC,TIER_3
"IILM, NEW DELHI",TIER_3
IIM Calcutta,TIER_1
IIM Indore,TIER_1
"IIM, AHMEDABAD",TIER_1
"IIM, CALCUTTA",TIER_1
"IIM, INDORE",TIER_1
IIMT,TIER_1
IIMT Greater Noida,UNKNOWN
IIPM - BANGALORE,UNKNOWN
IIPM - NEW DELHI,UNKNOWN
IIPM - Pune,UNKNOWN
"IIRM CAMPUS,JAIPUR",UNKNOWN
"IISWBM, KOLKATA",TIER_2
"IMDR, Pune",TIER_2
IMI BHUBANESWAR,TIER_2
"IMI, DELHI",TIER_2
"IMS DAV, Indore",TIER_3
"IMS, GHAZIABAD",TIER_3
"IMT, GHAZIABAD",TIER_2
Independent University,UNKNOWN
INDIAN MARITIME UNIVERSITY,UNKNOWN
INDIAN SCHOOL OF BUS MGT & ADM,TIER_3
INDIRA GANDHI NATIONAL OPEN UN,UNKNOWN
INDIRA SCHOOL OF BUSS  STUDIES,TIER_3
INDIRA SCHOOL OF CAREER STUDIE,TIER_3
INDRAPRASTH INST OF MGT-GURGAO,UNKNOWN
INDRAPRASTHA TECH UNIVERSITY,UNKNOWN
INDUS INTERNATIONAL UNIVERSITY,TIER_3
"INFINITY BUSINESS SCH, DELHI",TIER_3
INST OF CHART ACNTS (ICAI),UNKNOWN
INST OF MGT  INFORMATION SCI,UNKNOWN
INST OF MGT STUDIES ( IMS ),TIER_3
INST OF MKTG & MGMT ( IMM ),UNKNOWN
INST OF PRODUCTIVITY & MGT,UNKNOWN
INST OF PUBLIC ENTERPRISE,TIER_3
Inst of Technical Education,UNKNOWN
INSTITUTE OF MANAGEMENT SCI,TIER_3
INSTITUTE OF MGT BHUBANESHWAR,UNKNOWN
"INT SCH OF BUS & MEDIA, PUNE",TIER_3
INTEGRAL UNIVERSITY,UNKNOWN
INTER COLL OF FIN PLAN,UNKNOWN
INTER INST OF BUSINESS STUDIES,TIER_3
INTER SCH OF BUS & MEDIA,TIER_3
"INTER SCH OF BUS & MEDIA, BANG",TIER_3
"INTER SCH OF BUS & MEDIA, KOL",TIER_3
INTERNATIONAL INST OF MGT STUD,TIER_3
INTERNATIONAL SCHOOL OF BUS,TIER_3
ISBM PUNE,UNKNOWN
"ISBM, KOLKATA",UNKNOWN
"ISBM, PUNE",UNKNOWN
ISHAN INST OF MGT & TECH,UNKNOWN
ITM University,TIER_3
"ITM, CHENNAI",TIER_3
"ITM, MUMBAI",TIER_3
"ITM, Warrangal",TIER_3
J R N RAJASTHAN VIDYAPEETH UNI,UNKNOWN
JABALPUR UNIVERSITY,UNKNOWN
"JADHAVPUR UNIV, KOLKATA",UNKNOWN
JAI NARAIN VYAS UNIVERSITY,UNKNOWN
JAI PRAKASH UNIVERSITY,UNKNOWN
JAIN UNIVERSITY,UNKNOWN
JAIPUR NATIONAL UNIVERSITY,UNKNOWN
JAIPUR UNIVERSITY,UNKNOWN
JAIPURIA INS OF MGT STUDIES,TIER_3
"JAIPURIA INST OF MGMT, LUCKNOW",TIER_3
JAMIA HAMDARD UNIVERSITY,UNKNOWN
JAMMU UNIVERSITY,TIER_3
JANKI DEVI MEMORIAL COLLEGE,TIER_3
JAWA NEH ARCH & FINE ARTS UNIV,UNKNOWN
JAWAHARLAL NEHRU AGRI UNI,UNKNOWN
JAWAHARLAL NEHRU ENG CLG,UNKNOWN
JAWAHARLAL NEHRU UNIVERSITY,TIER_1
JAYPEE INST OF INFO TECH UNI,UNKNOWN
JBIMS Mumbai,TIER_1
"JIMS, Rohini, Delhi",TIER_3
JIWAJI UNIVERSITY,UNKNOWN
"JNTU, ANANTAPUR",UNKNOWN
"JNTU, HYDERABAD",UNKNOWN
"JNTU, KAKINADA",UNKNOWN
JODHPUR NATIONAL UNIVERSITY,UNKNOWN
K C COLLEGE OF MGT STUDIES,UNKNOWN
"K.J SOMAIYA SIMSR, MUMBAI",TIER_2
KACHCHH UNIVERSITY,UNKNOWN
